Mensura Particular Simple
Mensura Particular para Prescripción adquisitiva
Mensura Particular con Fraccionamiento
Mensura Particular con Unificación
Mensura Particular con Redistribución
Mensura Particular con Unificación y posterior Fraccionamiento
Mensura Particular con Unificación y posterior Redistribución
Mensura Particular con Redistribución y posterior Fraccionamiento
Mensura Particular para Primera Inscripción
Mensura Particular para Constituir Servidumbre
Mensura Particular para Constituir Usufructo
Mensura Particular para Constituir Derecho Real de Superficie
Mensura Particular Parcial
Mensura Particular de Objeto Territorial No Parcelario
Mensura Particular y División en Propiedad Horizontal
Mensura Particular y División en Propiedad Horizontal Modificatoria
Mensura Particular y División en Propiedad Horizontal Complementaria
Mensura Particular y División en Propiedad Horizontal Complementaria con Modificación
Mensura de Prehorizontalidad
Mensura Particular para Prescripción Adquisitiva de Unidades
